side,K,thr,N,trades,mean,std,sharpe,total
short,100,10,5,852,0.17488262910798122,2.1272440479985364,0.08221089125737177,149.0
long,100,10,20,608,0.19407894736842105,4.406110941107391,0.04404767604866504,118.0
short,100,10,20,257,0.4357976653696498,4.291286375973656,0.10155408592852755,112.0
long,100,10,50,283,0.39752650176678445,6.857980898851714,0.05796553061751564,112.5
short,100,10,50,137,0.3905109489051095,6.901738733764861,0.05658153169354055,53.5
long,100,20,5,1009,0.1595639246778989,2.2504949809306645,0.0709017020832645,161.0
short,100,20,5,232,-0.023706896551724137,2.25155081810386,-0.010529141230611144,-5.5
long,100,20,20,292,0.476027397260274,4.276541695805353,0.111311295696491,139.0
short,100,20,20,76,-0.09868421052631579,4.221670080512932,-0.023375633018272782,-7.5
long,100,20,50,138,0.8586956521739131,6.835009284694875,0.12563196572338245,118.5
short,100,20,50,41,-0.2926829268292683,6.293604583667626,-0.04650481658615093,-12.0
